NO.,COUNTRY,"GDP (2020, Billion USD)",ESTIMATED NUMBER OF MINING OPERATIONS (2020),
1,China,"14,720","10,000",Largest coal producer; widespread mining across many provinces.
2,India,"2,660","1,319",Based on Ministry of Mines 2020 data.
3,Indonesia,"1,060","2,000",Dominated by coal and nickel mines.
4,Japan,"5,060",100,"Limited to limestone, copper, and some rare earth elements."
5,South Korea,"1,640",200,Mostly small-scale mineral operations; focuses on metal processing.
6,Russia (Asian part),"1,480","3,000","Siberia hosts extensive mining; large copper, coal, and gold sites."
7,Saudi Arabia,700.12,350,Expanding non-oil mineral sector.
8,Turkey,719.96,900,"Active in coal, gold, and industrial minerals."
9,Iran,203.47,500,"Rich in copper, iron, and zinc."
10,Thailand,501.64,300,Tin and industrial minerals are common.
11,Philippines,361.49,300,Includes large nickel and gold operations.
12,Malaysia,337.01,150,"Tin, gold, and rare earths dominate."
13,Vietnam,271.16,400,"Coal, bauxite, and rare earth mining."
14,Pakistan,262.61,250,"Copper, salt, and coal are primary targets."
15,Bangladesh,323.06,50,Focused mostly on gas and minimal mineral mining.
16,Kazakhstan,171.08,700,"Uranium, copper, and coal mining."
17,Uzbekistan,59.93,100,Major gold and uranium producer.
18,Myanmar,79.85,250,"Heavy gemstone extraction, jade, rubies."
19,Sri Lanka,80.68,150,Gemstone mines are prominent.
20,Mongolia,13.31,"3,000","Mining-intensive economy (coal, copper, gold)."
21,Nigeria,432,600,"Major producer of oil, tin, limestone, and coal."
22,South Africa,302,"1,000","Major producer of gold, platinum, and coal."
23,Egypt,362,300,"Known for gold, phosphates, and mineral sands."
24,Algeria,145,250,Oil and gas dominate; also phosphate and iron.
25,Angola,63,200,Diamond and iron ore production.
26,Morocco,114,400,Major phosphate producer globally.
27,Ethiopia,96,150,Gold and tantalum production.
28,Ghana,73,350,Top gold producer in Africa.
29,Kenya,95,100,"Soda ash, fluorspar, and rare earths."
30,Tanzania,62,200,"Gold, diamonds, and tanzanite."
31,Democratic Republic of Congo,49,500,Large copper and cobalt reserves.
32,Zambia,19,150,Copper is the main mineral.
33,Zimbabwe,21,200,"Gold, platinum, and lithium."
34,Namibia,10,120,Uranium and diamond mining.
35,Botswana,15,80,Diamond mining dominates.
36,Mozambique,15,100,Coal and natural gas projects.
